Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2022-04-01 00:00:00,0.73041,15456.573767431,64.57228,27958.680678598997,0.43,18.49,1759.96,31501.34,167.83,15563.18,2.74,455.46000000000004,23.22,2145.53,88.34,150.86,17.61,214.01,h,h,22.490009999999998,677.9066958,22.29079,1694.6804456999998,53.423089999999995,1004.2622414,26.6555,442.1313589,2.67292,53.216107799999996,11.18307,145.334103,118.73,5005.23,28.47,870.99,h,h,h,h,h,h
2022-04-02 00:00:00,5.66557,193181.70769826803,175.51261,87296.159695379,0.49,20.919999999999998,1904.37,34305.57,161.16,15625.53,110.6,10945.55,105.18,6076.21,84.25,138.9,20.23,248.26,20.09,25067.92,25.399350000000002,860.6140581,14.46885,735.214183,52.043169999999996,1145.0854617999998,23.438,366.5578095,3.05267,62.8438618,7.6795,74.99379569999999,124.15,5483.24,35.25,1051.99,h,h,h,h,h,h
2022-04-03 00:00:00,0.64115,5538.026504686,38.09756,10243.20578952,0.42,16.06,1816.66,28996.32,157.35,12065.23,74.51,1957.95,33.94,1892.6,87.82,137.45,20.32,204.48,h,h,26.25276,803.9414394,29.60412,1524.8220007,54.13372,1069.0456167,25.919790000000003,407.79494529999994,3.1879199999999996,61.5301485,10.91191,187.49277389999997,113.13,4779.66,31.58,879.34,h,h,h,h,h,h
2022-04-04 00:00:00,10.57135,795939.95116929,184.1392,139144.156810649,0.48000000000000004,19,1932.97,41530.22,181.1,20233.82,62.08,9674.35,26.8,3456.44,80.2,127.31,26.26,362.77,39.46,47096.06,55.352199999999996,1948.3524060999998,48.2828,3170.9255582,104.19104,2217.143953,56.605180000000004,1044.102834,3.0661,71.2438707,9.893660000000002,174.6561354,124.54,5868.63,41.05,1227.3,0.04552,634007.52,0.1024,443736.82999999996,0.00398,33415
2022-04-05 00:00:00,8.75583,601341.3793463571,155.23696,110471.578543827,0.47000000000000003,17.8,1934.18,39370.19,175.89,18865.01,56.32,3882.7799999999997,132.07,14043.67,81.94,133.21,26.18,404.87,34.19,38604.51,26.410020000000003,977.5566344,28.636560000000003,2094.2281275,60.882690000000004,1234.5126349,34.31215,646.3356716000001,2.71869,65.3332377,10.4063,193.1171263,123.88,5736.23,38.36,1141.53,0.04473,627434.371,0.095375,308536.71,0.00511,41905
2022-04-06 00:00:00,8.48265,537968.826218865,168.85244,101475.187159086,0.48000000000000004,19.15,1892.45,37401.11,166.57,17620.58,54.07000000000001,3762.19,40.6,3162.3,84.97,138.74,26.14,367.23,29.54,35863.04,26.653370000000002,989.9329445,28.512400000000003,2017.9846657,61.277190000000004,1260.9801392999998,34.45702,636.4629322,2.7814300000000003,61.508300600000005,9.781699999999999,140.46422740000003,120.04,5412.12,37.34,1087.9,0.04531,625448.0260000001,0.0894,269281.79,0.0056,39025
