Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2025-08-01 00:00:00,10.41056,924102.872857772,429.51993,219088.596088895,0.43,16.5,6693.32,103856.25,185.69,26825.1,150.78,10775,48.66,6255.11,121.37,233.54,99.98098,6552.2526659879995,16.27,23086.94,31.46276,1632.8643747,53.19064,4381.3349437,25.031010000000002,717.5302197999999,11.35037,601.0956926,7.47628,16.6870109,1.40519,38.85423,99.97,4949.66,33.57,938.83,0.0701,824847.64,0.18938,611409.3,0.00206,19245
2025-08-02 00:00:00,8.26737,248473.25613549296,275.16437,103929.801923298,0.56,19.87,7072.16,102420.12,173.12,22599.48,1121.54,26870.82,88.74,8991.31,128.24,230.63,95.70127,5950.794268418,16.09,21024.7,28.962099999999996,1398.4242155999998,39.85079999999999,2926.4092189,23.143659999999997,669.5402085,8.41459,378.22770069999996,7.6881900000000005,16.6582137,1.27921,42.7562911,107.46,5260.94,48.77,1252.5,0.0014,10401.55,0,0,0,0
2025-08-03 00:00:00,1.41146,17630.652127722,176.32009,23171.440182973998,0.7,23.400000000000002,6679.26,76155.36,149.81,14504.56,3.09,302.87,149.48,10246.5,127.77,224.43,81.36725,4527.384818249,h,h,29.916490000000003,1387.4762812,40.74875,2361.5719897000004,22.24886,677.2839634999999,8.34556,287.8908741,6.55241,15.995224099999998,1.09227,32.831302,94.68,4144.7,54.16,1304.56,h,h,h,h,h,h
2025-08-04 00:00:00,11.00618,830094.211096624,294.99757,152764.67057748,0.73,24.57,6653.74,98588.87,182.15,25147.95,241.39,8142.62,106.79,9943.87,116.4,204.87,100.78232,6085.070023919,20.27,22518.33,49.39731999999999,2692.9543699,79.41028,5993.4961062,34.06861,1048.2053713,15.07038,704.5937704,4.76335,17.7487748,1.2738900000000002,30.1199126,96.64,4539.77,58.72,1500.69,0.07081,833796.9739999999,0.155485,602761.14,0.00839,56550
2025-08-05 00:00:00,10.86007,819131.968268918,309.20266,159022.22425579,0.71,24.09,6716.64,97550.71,174.59,24302.94,350.53,10306.21,314.88,35167.22,115.06,210.25,98.83159,5519.157904611,20.58,25110.93,28.78772,1574.9740937,48.92271,3916.1529382999997,23.565070000000002,660.4318247,10.184949999999999,469.7542571,7.9822,16.678418,1.54203,59.0510363,96.99,4586.46,52.31,1353.51,0.09681,865169.7986263,0.165465,585118.0799999998,0.00504,47395
2025-08-06 00:00:00,10.6052,736305.9398329139,344.93464,177088.549541724,0.76,25.5,6752.68,93102.41,171.32,23307.51,321.54,8338.779999999999,26.62,5431.21,119.21,218.23,94.79041,4955.778066701,19.02,23421.98,24.82369,1365.9035364,42.68397,3353.3548165,21.80124,617.237985,8.90433,408.6791743,8.03252,17.547706499999997,1.34597,52.956348899999995,100.68,4706.98,55.15,1417.08,0.07735,852907.1713074,0.154525,582313.6000000001,0.00857,64020
