Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,CASH WITHDRAWAL,Unnamed: 28,Unnamed: 29,Unnamed: 30
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,NPCI Operated,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card (At PoS and e-Commerce),,Debit Card (At PoS and e-Commerce),,Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce),,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
"January 1, 2021",4.5049,426004.30954512,178.39422,98747.565378155,0.31000000000000005,7.23,767.15,14291.54,115.56,9706.83,88.09,6506.12,18.33,2795.12,43.96,74.84,6.51,86.61,20.66,20307.11,28.33068,990.22817126,82.43222,1268.7142366560001,3.9448499999999997,100.97523940800001,120.04,4841.55,24.85,663.36
"January 2, 2021",4.95821,158391.814929096,91.0935,56094.523026053,0.36,9.08,792.19,16441.23,121.68,10670.38,87.97999999999999,5088.55,75.12,4341.49,48.4,77.04,7.62,99.52,22.64,19350.22,22.71278,751.4289241910001,76.35797,1227.3109346889999,4.13232,127.17668326299999,129.06,5784.65,29.3,852.14
"January 3, 2021",0.20889,1883.3034902419997,16.55842,4465.10112549,0.27,6.1,712.39,11999.27,100.87,6925.4,h,h,h,h,49.19,77.86,6.38,69.76,h,h,34.503550000000004,1133.583008785,85.25556,1326.90575853,3.28669,102.845797815,107.43,4265.5,21.34,561.31
"January 4, 2021",7.00444,484059.86175746104,128.86308,88505.798784751,0.39,9.74,797.78,17216.59,125.94,12061.39,152.23000000000002,3550.56,59.01,4651.21,44.03,70.92,9.1,125.99,27.92,22941.96,84.58144,2827.6911787259996,173.25476,3122.024554085,6.58774,175.91251801399997,119.69,5284.18,30.38,868.38
"January 5, 2021",6.56812,378006.873176675,143.44358,89250.159763335,0.38,9.45,782.2,16391.11,124.11,11556.74,150.05,4856.69,101.74,11385.9,43.85,72.97,9.26,127.61,29.4,25239.33,38.132810000000006,1548.4552228010002,98.70045000000002,1703.326480955,4.68872,166.313692901,117.9,5191.22,28.63,817.3
"January 06, 2021",6.3213,396123.256242513,119.44732,104962.86675331801,0.36,8.9,795.3,16315.32,121.71,10857.3,139.29,4574.08,27.01,2678.97,45.34,76.04,9.3,129.76,28.12,23333.35,37.79447,1461.930163806,97.48714,1652.7038120430002,4.8557500000000005,167.03131518800004,116.84,5072.33,27.92,771.79
"January 07, 2021",6.54382,372890.540698117,131.19377,99181.089665852,0.36,8.83,786.63,15903.99,120.31,10822.03,122.46000000000001,5482.6,63.67,4696.54,46.51,78.39,9.94,145.57,26.31,22209.01,36.61462,1489.8565265020002,99.02947,1671.6702795160002,4.68361,162.004683037,121.9,5318.28,29.75,799.25
"January 08, 2021",7.17656,389500.683065058,137.05083,98740.759421759,0.36,8.870000000000001,765.97,15067.11,116.93,10622.63,162.98000000000002,6616.6,35.14,2538.5,48.5,80.28,9.47,136.68,27.29,23147.44,34.685379999999995,1274.230250629,96.95698999999999,1653.577160373,4.36923,164.842667239,125.61,5456.31,29.63,808.59
"January 09, 2021",0.7201,5664.739590282,32.33929,11073.920066622999,0.37,8.9,755.92,13575.18,113,9006.03,h,h,h,h,51.45,82.71,7.93,107.92,h,h,29.17499,932.120258664,83.60082,1338.328958185,3.45639,104.31851136200001,124.34,5332.39,29.56,809.56
"January 10, 2021",0.18961,1753.310611847,13.61922,3630.010261549,0.25,5.43,730.55,11442.15,98.89,6124.66,h,h,h,h,50,81.28,7.29,82.1,h,h,35.12272,1019.648801919,88.78448,1388.6491803619997,4.05445,95.79336885100001,104.06,4018.98,21.61,551.36
"January 11, 2021",8.65776,422284.6365105,170.19068,111765.07415836299,0.36,9.01,790.01,16385.67,129.59,11567.12,90.42,4383.58,97.21,12106.07,45.64,73.45,10.9,171.13,42.71,32442.69,70.68575999999999,2356.5389911089997,150.7027,2713.768991952,4.7317,127.884905108,121.41,5276.54,31.56,881.12
2021-01-12 00:00:00,7.1362,368551.112073621,126.11619,87053.880529547,0.43,11.08,796.26,16106.04,125.62,11060.55,109.14,5902.42,21.32,2331.57,47.16,76.73,10.6,157.28,34.11,26673.23,42.45947,1563.3427401840001,103.96178,1791.634469115,4.94064,172.62067970900003,131.02,5741.31,31.91,1006.93
2021-01-13 00:00:00,6.9965,388473.4619855,125.5773,85827.266850345,0.41,10.2,799.33,15247.81,117.3,9951.27,147.39999999999998,4389.78,12.43,1290.92,47.84,76.63,10.27,155,30.52,24528.36,39.60132,1341.7857306310002,102.54624,1695.8569782749998,4.45964,162.828051135,130.65,5428.69,30.39,918.35
2021-01-14 00:00:00,4.35292,358642.976019262,73.47862,72196.66260718199,0.31999999999999995,7.8100000000000005,709.06,12055.99,105.3,7871.07,58.46000000000001,2333.0299999999997,10.73,1250.18,42.3,70.76,8.84,125.66,18.48,14725.77,36.46725,1306.751072975,92.28995,1511.755610694,4.68019,172.31828804,104.65,4089.24,22.68,649.62
2021-01-15 00:00:00,5.70442,469820.20750295196,92.03065,83293.016169365,0.35,8.71,716.84,12896.46,103.3,8433.01,88.85,3582.06,68.85,6172.81,42.09,67.84,10.06,155.77,24.85,20574.52,37.777590000000004,1208.925453888,94.88977,1573.4753628419999,3.40933,146.087407656,105.76,4242.85,24.63,713.04
2021-01-16 00:00:00,4.65279,118257.927588643,65.12171,49875.373128151004,0.32,8.08,736.58,13098.51,102.34,7951.18,92.9,3629.2799999999997,17.61,1664.6,47.15,71.46,9.82,140.45,23.07,18688.13,13.59928,471.718167742,56.02429,855.9299413379999,4.41104,146.323020886,110.68,4428.69,24.1,701.67
2021-01-17 00:00:00,0.21369,2027.0184295330002,10.87179,3569.077789408,0.29000000000000004,6.45,693.63,10040.86,92.32,5163.63,h,h,h,h,51.71,77.21,7.51,81.87,h,h,44.446110000000004,1204.0200187780001,102.00277,1599.6107766779999,3.99191,91.097433808,97.92,3528.38,18.96,495.88
2021-01-18 00:00:00,7.18117,374041.076871444,103.92269,77770.61813570601,0.39999999999999997,9.7,742.75,14349.75,113.21,9934.98,63.44,2573.43,36.51,2049.6,46.87,72.33,11.48,180.23,29.62932,23228.746684751,70.09734,2334.721275627,139.84304,2482.43416988,4.08421,154.41500858199998,108.9,4371.84,27.26,768.14
2021-01-19 00:00:00,6.79265,413346.415800317,99.2961,85327.600089778,0.37,9.440000000000001,726.82,13969.89,110.88,9538.96,63.69,3492.73,9.13,1400.5,46.79,75.85,10.33,168.63,27,23367.75,40.473659999999995,1687.409518647,93.75582,1595.037671606,4.64368,171.88593809799997,106.66,4249.85,26.21,724.16
2021-01-20 00:00:00,6.67297,384415.538059431,91.88,88084.08,0.41,9.91,768.51,15105.77,113.67,9776.08,48.69,5546.34,25.79,3216,47.58,78.13,10.04,167.96,28.39,23600.89,42.8409,1739.2701549419999,96.77651,1691.240766147,5.673100000000001,164.84770243699998,107.63,4279.53,25.72,707.24
2021-01-21 00:00:00,6.56248,411114.249510362,100.41472,95097.935267327,0.38,9.91,759.64,14635.65,112.56,9770.02,85.2,4405.42,23.24,2107.05,47.68,80.48,10.37,178.61,27.19,23335.56,42.4431,1801.6668069349998,95.78437,1641.3723004070002,4.50439,170.96586261599998,102.41,4046.42,24.56,686.03
2021-01-22 00:00:00,7.30041,419421.199769205,104.62988,91931.225346155,0.44,11.2,751.68,14181.12,111.2,9680.66,52.23,3668.46,16.44,1771.32,55.57,85.73,9.44,166.6,27.19,23965.51,40.13526,1534.3916061099999,92.09979000000001,1543.6207541039998,4.42527,170.46242049699998,103.67,4078.62,24.32,685.91
2021-01-23 00:00:00,0.73162,6116.315231684,21.94871,10255.282824675,0.42000000000000004,10.1,713,11968.34,103.96,7659.04,h,h,h,h,55.07,85.71,7.95,113.52,h,h,30.372729999999997,1076.511572367,76.59411,1241.565081413,3.13591,124.674856857,102.86,4020.06,22.15,626.48
2021-01-24 00:00:00,0.19094,1623.7336721049999,10.26767,3027.451110838,0.31,6.489999999999999,589.58,8051.95,89.54,4933.85,h,h,h,h,52.75,82.79,5.85,65.27,h,h,37.24331,1100.7966143669998,86.05995999999999,1356.433948646,4.289960000000001,165.87687219600002,92.93,3195.36,16.45,418.3
2021-01-25 00:00:00,8.67083,509979.88470344903,125.8156,114972.26851954599,0.44,10.88,724.19,14185.07,113.1,10204.44,154.9,4547.95,32.38,3247.71,47.78,74.57,9.24,170.28,38.31,31536.74,77.07473999999999,2727.790714433,142.71622000000002,2533.881962943,4.17757,135.846985772,107.9,4243.13,23.82,672.67
2021-01-26 00:00:00,0.38866,3450.5278606980005,15.96436,7112.532724260001,0.38,8.92,682.29,10407.76,90.3,6222.34,h,h,h,h,48.5,76.82,6.63,80.58,h,h,29.605330000000002,948.6498822579999,73.46383,1159.529167744,3.2639400000000003,107.82683480300001,92.84,3362.23,19.76,520.22
2021-01-27 00:00:00,8.36759,499570.02762124396,119.7534,102287.903706784,0.44,10.830000000000002,705.02,13936,108.53,10179.98,166.84,5120.5599999999995,12.48,1764.22,46.31,72,9.36,170.91,38.24,31382.05,56.39319999999999,2080.303687348,114.03587,2014.265216653,4.51558,151.405378582,104.75,4141.5,24.42,685.36
2021-01-28 00:00:00,7.20002,477736.9959004471,126.94315,108954.77380344301,0.43,10.620000000000001,691.55,13304.92,111.32,10203.63,74.89,6873.13,56.02,2930.95,48.23,77.29,8.48,153.36,29.62,26409.97,39.20556,1559.803383564,93.60992999999999,1649.0861503590002,4.38275,174.573753973,101.17,4018.4,23.61,652.75
