Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2022-01-01 00:00:00,4.37692,229734.568536572,188.63883,82940.249100692,0.66,22.380000000000003,1585.27,27278.48,149.03,12307.74,1080.34,29077.23,20.08,2769.26,81.35,126.29,15.52,201.28,16.55,18693.51,16.44707,487.6737119,16.39326,937.3521548,47.49405,873.2396631,24.933999999999997,395.2819821,2.39428,50.719773399999994,6.4723500000000005,114.94133650000002,116.3,4771.05,35.32,914.1,0.0016,17018,0,0,0,0
2022-01-02 00:00:00,0.40744,4015.238188962,41.27559,8331.827061402,0.83,23.169999999999998,1531.66,24750.74,143.16,10121.7,101.02,1709.36,93.71,4572.47,82.17,118.62,16.4,188.33,h,h,26.605939999999997,782.8973386,17.540219999999998,784.0421089,59.07297,1089.5616708000002,25.91431,383.51946399999997,2.82737,57.5160368,6.925879999999999,108.6992474,117.87,4722.08,49.91,1186.92,h,h,h,h,h,h
2022-01-03 00:00:00,7.93089,556466.579069361,177.02486,100766.065989176,0.98,29,1614.87,32979.67,158.52,15630.76,49.57,2736.46,40.16,2918.15,74.42,110.8,21.73,318.06,23.79,22420.1,45.259159999999994,1453.8075784,36.81251,2423.2935329,93.69322,1798.6931693000001,52.54757,895.7275267,2.74457,61.2839538,7.29439,130.1695864,121.36,5325.26,53.67,1396.03,0.04878,707038.592,0.084545,250790.06,0.00424,20130
2022-01-04 00:00:00,7.43838,364857.465108327,154.872,92624.102061582,0.88,26.89,1595.01,32214.37,157.25,15279.56,199.33,5980.79,34.31,4249.86,73.23,113.39,21.14,325.83,26.43,25568.1,22.98625,820.7150136,24.29234,1594.0690759,58.74602,1113.6359868,36.07728,651.6645313,2.46793,58.6639077,7.70992,137.2233086,117.78,5145.17,49.95,1301.92,0.0423,644783.227,0.07513,194668.58999999997,0.00601,30300
2022-01-05 00:00:00,7.23737,392221.150869998,163.12621,95553.317096389,0.8300000000000001,24.959999999999997,1591.71,31730.45,155.68,15165.83,86.86,3998.05,111.97,12299.85,74.58,116.4,21.37,360.33,26.63,26491,22.59168,818.5569378,23.60775,1623.7229959000001,57.18869,1109.7582694,35.78709,638.3996909,2.45462,58.2223286,7.6646,157.8703991,112.98,4877.22,43.46,1089.35,0.04771,647054.497,0.065035,157401.65,0.00553,24820
2022-01-06 00:00:00,7.22377,469484.239098375,150.30967,103625.591007199,0.74,22.099999999999998,1589.44,30771.67,150.84,14303.39,153.49,7732.9,31.68,3017.36,72.37,115.24,21.45,345.19,25.15,25043.72,22.544130000000003,815.1756462999999,23.521130000000003,2082.3104927,56.979859999999995,1114.8148816,35.35409,617.1385773,2.44724,56.6794487,7.42439,121.19092259999998,113.35,4891.71,45.47,1140.46,0.04163,653794.92,0.064775,160806.77,0.00463,22805
