Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,CASH WITHDRAWAL,Unnamed: 22,Unnamed: 23,Unnamed: 24
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
"July 1, 2020",4.90762,417735.94769834296,173.00165,96466.521451547,0.5700000000000001,9.49,515.18,11611.71,90.45,10474.88,120.04,5953.11,18.49,2498.3,28.76,53.51,5.49,99.45,21.43,19615.57,111.03,5051.5199999999995,27.47,685.77
"July 2, 2020",4.68519,320662.550536036,100.44184,74699.453100172,0.61,9.9,481.96,10494.44,83.03,9342.1,87.53999999999999,4215.67,62.02,3255.35,28.66,53.67,5.38,95.7,20.29,18585.69,108.64,4917.42,29.74,730.51
"July 3, 2020",4.69096,298605.34664303897,108.02575,71947.539887665,0.5900000000000001,9.74,507.41,10735.45,76.91,8293.17,66.85,6261.83,49.79,2830.92,29.21,53.59,5.61,100.32,19.58,18326.45,103.23,4574.7,28.45,691.09
"July 4, 2020",3.80446,95452.81050583899,70.05782,48814.680602458,0.56,9.059999999999999,498.77,10114.58,76.41,7785.95,168.07999999999998,5443.9400000000005,28.53,3253.66,29.21,53.14,5.36,87.6,18.6,14858.57,105.09,4597.66,27.37,652.57
"July 5, 2020",h,h,9.73955,2897.454619878,0.3,4.48,432.52,7115.05,55.19,4615.17,h,h,h,h,24.63,50.45,4.45,61.32,h,h,70.98,2790.42,17.31,376.34
"July 6, 2020",5.22569,393151.54084504006,109.29326,97039.576668612,0.6,9.55,503.34,10863,82.24,8622.13,65.56,2523.74,98.6,10137.16,26.99,47.8,6.17,104.29,22.06,16756.08,105.12,4574.37,30.28,713.78
"July 7, 2020",4.94152,347459.266266492,117.56608,75837.342504104,0.52,8.41,496.02,10438.01,79.28,8374.16,62.879999999999995,3733.0699999999997,56.67,4380,27.54,50.24,6.12,100.03,22.07,17262.46,102.75,4476.89,28.09,662.93
"July 8, 2020",4.74639,314249.01510610996,111.46972,73250.386649473,0.61,9.26,509.11,10642.44,77.06,8091.53,50.43,3432.55,30.35,1930.21,26.73,48.84,6.32,104.71,21.41,16771.69,107.32,4702.73,28.59,674.96
"July 9, 2020",4.74413,343721.64495817997,100.01119,72248.886731617,0.53,8.35,485.14,10059.96,74.58,7859.37,122.56,4702.08,12.14,1366.4,30.17,56.52,6.49,110.56,20.68,16590.58,103.6,4490.87,26.43,622.61
"July 10, 2020",5.20218,389681.829117096,102.36282,86573.937441695,0.5700000000000001,8.91,451.5,9324.23,74.82,8028.18,42.89,3159.9,82.56,8772.27,29.76,54.28,6.09,104,22.42,17692.52,106.92,4583.66,27.19,639.46
"July 11, 2020",h,h,14.27293,6074.971940592,0.5,7.67,500.95,9024.34,68.01,6185.32,h,h,h,h,27.82,52.54,6.67,104.02,h,h,95.77,3972.5,22.14,524.72
"July 12, 2020",h,h,7.29335,2357.1064143119997,0.31,4.63,434.05,6282.22,49.4,3658.08,h,h,h,h,22.77,48.38,6.01,83.79,h,h,61.49,2310,14.3,317.21
"July 13, 2020",6.44814,449931.92847688205,113.43608,88295.773112535,0.48,7.89,518.52,10469.79,77.46,8056.36,106.96000000000001,3874.5099999999998,23.81,2777.55,27.11,47.01,8.51,158.94,28.46,21147.95,99.16,4173.68,25.7,606.1
"July 14, 2020",5.20935,331781.70143451204,85.13832,68689.008542124,0.65,9.94,519.6,10312.04,74.8,7839.39,165.42000000000002,4988.37,17.56,1891.92,27.81,50.25,8.22,152.84,25.6,19089.76,99.31,4188.85,27.08,639.17
"July 15, 2020",4.96783,332465.969509559,86.07893,80746.79719251,0.66,9.83,499.18,10118.86,72.43,7711.74,62.19,3569.3700000000003,73.17,5184.39,27.89,51.67,8.48,164.86,22.91,19321.42,95.15,3961.97,27.7,640.47
"July 16, 2020",4.67086,326097.81652534695,84.25585,69716.473485349,0.65,9.92,479.81,9451.87,69.47,7083.76,106.05,8091.92,8.21,1075.83,27.87,53.42,7.84,149.76,20.58,16291.1,88.25,3612.93,25.78,596.21
"July 17, 2020",4.57588,304494.647142958,76.65922,74411.403100278,0.61,9.24,472.6,9034.77,68.6,7062.31,82.62,3898.8900000000003,11.01,1104.96,28.61,54.33,8,145.66,19.23,15784,89.38,3589.93,25.83,599.59
"July 18, 2020",3.36767,80898.977572713,59.84917,40256.322698796,0.51,7.75,462.3,8380.13,62.86,5988.41,59.730000000000004,1909.09,13.47,1428.97,27.66,53.96,7.05,129.2,15.78,12306.82,84.93,3338.88,21.49,503.66
"July 19, 2020",h,h,6.08129,2343.1571934599997,0.35000000000000003,5.04,410.87,5766.61,47.37,3415.28,h,h,h,h,23.06,50.35,5.59,86.11,h,h,59.47,2084.74,13.47,299.88
"July 20, 2020",5.20914,345326.922824118,74.31706,70357.759736613,0.6,9.04,461.25,8829,72.5,7248.83,60.06,1367.7,22.59,2475.98,25.67,47.62,8.16,171.62,20.74,15175.37,91.46,3617.8,25.07,581.65
"July 21, 2020",4.80039,300956.310215052,66.35638,59734.085961745,0.5800000000000001,8.92,437.49,8301.25,70.65,7070.64,59.989999999999995,2487.6400000000003,40.14,1547.76,27.52,51.87,7.75,148.54,20.65,16843.45,86.5,3431.82,23.49,549.09
"July 22, 2020",4.68802,307147.780796286,68.64978,62003.008565341006,0.54,8.73,496.81,9735.93,71.29,7124.26,89.33,2401.29,18.36,1503.05,28.93,53.53,7.7,153.12,19.53,16023.64,89.81,3541.99,24.49,568.34
"July 23, 2020",4.46214,310965.111774515,63.86625,67317.403262432,0.52,7.970000000000001,470.34,8878.82,69.01,6874.02,50.14,2869.98,15.61,918.93,29.18,55.13,7.31,146.39,18.15,15038.03,81.02,3184.41,21.54,502.76
"July 24, 2020",5.27373,319243.66811917996,78.15744,79211.516975882,0.5800000000000001,8.66,483.32,9348.16,71.25,7238.9,46.06,3410.69,14.01,1369.27,30.4,56.23,6.81,142.3,19.32,16641.71,88.17,3453.29,23.26,534.92
"July 25, 2020",h,h,13.6464,6554.568990416001,0.41000000000000003,6.51,466.6,7787.59,64.02,5730.15,h,h,h,h,28.73,54.35,5.43,101.01,h,h,75.45,2878.4,16.46,388.44
"July 26, 2020",h,h,7.73715,2268.573214808,0.29000000000000004,4.31,414.17,5659.17,47.71,3467.98,h,h,h,h,23.93,50.03,4.41,70.27,h,h,56.61,1990.82,11.98,269.49
"July 27, 2020",6.56634,360578.087615037,88.84762,102496.02530943,0.52,8.41,501.87,9884.21,75.23,7929.13,142.93,4175.06,21.57,2371.41,27.97,49.13,6.85,155.69,28.73,21941.86,92.04,3709.19,22.01,529.2
"July 28, 2020",5.50977,334753.897837199,83.86316,78909.270453328,0.5900000000000001,9.14,497.54,9580.56,74.46,7873.17,150.44,4898.43,56.15,2361.99,29.04,52.76,6.42,136.02,23.92,20639.27,86.04,3501.95,22.34,537.75
"July 29, 2020",4.95966,457537.942683975,66.67942,74219.22925385699,0.5900000000000001,9.17,488.78,9301.61,72.92,7737.04,103.69999999999999,5285.23,11.14,1556.19,30.05,55.24,5.59,114.6,20.07,16854.78,86.11,3482.87,23.76,555.08
"July 30, 2020",5.46739,391342.591326422,98.58669,103059.17604651801,0.63,9.67,525.93,10592.09,80.96,8745.55,60.64,4330.4400000000005,5.46,861.61,30.78,56.95,5.92,118.07,20.99,17873.16,98.07,4067.45,26.59,621.1
"July 31, 2020",5.63823,461035.74352411105,155.28974,124315.977606773,0.74,11.209999999999999,550.61,12399.97,90.62,10248.32,102.89,10952.22,9.66,1229.34,31.79,56.67,5.37,106.61,19.04,16367.44,110.19,4872.92,28,653.65
Total July 2020,124.76268000000002,8335279.049054042,2401.03191,1963113.3887143193,16.770000000000003,260.79999999999995,14973.540000000005,290537.86,2220.99,225775.28,2235.98,107936.71999999999,801.0700000000002,68083.42,866.2499999999997,1623.46,201.57,3707.4,532.2399999999999,433799.3700000001,2839.0600000000004,117726.63,743.4000000000001,17468.500000000004
Note:,,,,,,,,,,,,,,,,,,,,,,,,
i,The data published is only for RBI and NPCI operated systems.,,,,,,,,,,,,,,,,,,,,,,,
ii,RTGS data includes only Customer and Interbank transactions.,,,,,,,,,,,,,,,,,,,,,,,
iii,AePS data under Payment transactions include AePS Fund Transfers and BHIM Aadhaar Pay transactions.,,,,,,,,,,,,,,,,,,,,,,,
iv,UPI data includes BHIM-UPI and USSD transactions.,,,,,,,,,,,,,,,,,,,,,,,
v,NACH Credit data includes Aadhaar Payment Bridge System (APBS) transactions.,,,,,,,,,,,,,,,,,,,,,,,
vi,NETC figures are for FASTags linked with all instruments and hence would be different from monthly bulletin which only includes NETC linked to bank accounts,,,,,,,,,,,,,,,,,,,,,,,
vii,BBPS data is not included in the monthly bulletin as the data is captured under other systems. ,,,,,,,,,,,,,,,,,,,,,,,
viii,"For complete data on Payment System Indicators, please refer to RBI Bulletin – Table 43 published on a monthly basis.",,,,,,,,,,,,,,,,,,,,,,,
ix,h: holiday,,,,,,,,,,,,,,,,,,,,,,,
