Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2025-07-01 00:00:00,11.64083,1366012.331053007,418.10119,229348.045078577,0.51,18.669999999999998,6535.13,110062.3,190.34,29733.77,312.16999999999996,13764.22,47.35,6735.17,117.42,216.96,104.957,6808.053455,21.03,28444.64,28.649869999999996,1562.6146684999999,46.49313,4003.2518244,23.142870000000002,653.4921782,10.785340000000001,573.5118977,6.798380000000001,14.545126300000002,0.72527,10.5239078,100.35,5014.91,34.68,984.43,0.07332,930436.9218788999,0.169395,676250.08,0.00457,31865
2025-07-02 00:00:00,10.46746,832144.1527047061,336.20367,148232.617113563,0.52,18.8,6649.96,104976.26,177.12,26353.82,145.13,7436.45,97.76,9441.09,117.28,213.84,101.56595,6472.1634681,19.28,25665.76,28.812060000000002,1569.7214614,46.36774,3999.6966671,24.50123,690.7563983,10.64088,536.6345496,6.89897,13.7294518,0.72048,8.8423514,99.36,4924.25,33.9,942.75,0.08604,904995.7025074,0.149965,585057.44,0.00546,35010
2025-07-03 00:00:00,10.47582,789450.0627833189,288.28735,155656.75568341202,0.51,17.99,6446.99,95041.19,170.38,24593.26,275.95000000000005,6992.88,176.75,13455.03,116.92,215.51,98.45803,5877.6965752,17.97,24543.56,29.57108,1645.5618661,40.489689999999996,3807.7163317000004,24.1876,682.3014075,9.00038,495.7680721,6.76842,12.985851299999998,0.6654599999999999,8.3772315,93.46,4514.3,33.14,901.51,0.07497,867953.8435408999,0.154455,590973.2,0.00529,29230
2025-07-04 00:00:00,10.3504,786282.594718683,299.77705,157167.54165929699,0.5,17.419999999999998,6483.11,92737.86,171.07,24048.39,281.38,10458.42,79.13,9307.32,122.53,223.98,92.66841,5487.3613109,17.81,25323.93,30.2192,1662.2274784,52.70916,4081.8978735,23.642200000000003,678.6503366000001,12.14769,495.1395150999999,6.84712,13.822586399999999,0.77409,9.2274478,90.24,4248.12,32.18,853.05,0.07408,870229.1001857,0,0,0.00703,49495
2025-07-05 00:00:00,8.78451,244561.67780445,403.8436,129958.54062033798,0.51,17.78,6561.36,92883.49,163.86,22049.58,189.25,7150.219999999999,283.82,33425.71,129.12,227.06,94.23076,5718.1412358,17.68,21579.22,29.06683,1410.9462733999999,34.67393,2603.439628,21.62678,642.5868459,7.679810000000001,346.3906781,6.7125200000000005,13.427382000000001,0.68145,8.320799,96.08,4528.02,33.42,848.53,0.00094,8071.81,0,0,0,0
2025-07-06 00:00:00,1.3294,19028.817662602003,169.86056,23299.282679534,0.5,15.98,6234.23,69207.26,135.92,13326.6,3.13,422.82,19.4,2458.61,123.58,214.85,76.95458,3719.93999,h,h,28.77019,1310.7515114,34.15073,1885.917446,19.7364,567.0309314,6.934419999999999,257.59199060000003,5.454400000000001,14.2925778,0.57804,5.3807758,86.8,3739.15,27.76,666.2,h,h,h,h,h,h
