Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,CASH WITHDRAWAL,Unnamed: 28,Unnamed: 29,Unnamed: 30,Settlement Systems,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card (At PoS and e-Commerce),,Debit Card (At PoS and e-Commerce),,Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce),,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2021-06-01 00:00:00,5.43491,449362.8251724699,237.68844,98894.419543534,0.55,16.240000000000002,978.07,21837.51,117.92,12615.42,87.42,4238.43,19.39,2784.12,41.62,73.99,13.6,207.22,16.58,18119.89,31.377769999999998,1505.4269541,73.61648,1293.7140591000002,2.9462099999999998,85.1083403,97.97,4620.35,30.12,917.45,0.04855,519269.669,0.169245,393004.25,0.00221,10160
2021-06-02 00:00:00,5.41562,346178.723135733,124.39289,75164.19900963,0.55,15.91,981.37,20668.35,110.79,11264.75,126.3,4367.790000000001,83.36,4596.29,43.18,75.52,13.4,208.69,17.46,17105.56,30.10332,1330.0524277,74.73102,1293.0103444000001,3.18492,87.6401022,100.7,4708.97,30.67,911.55,0.03614,511209.13399999996,0.071615,196842.59,0.00227,15685
2021-06-03 00:00:00,5.24504,348751.53620826104,113.53395,80124.66234824799,0.53,15.14,928,19629.84,105.12,10689.35,117.99,4074.61,43.78,2719.46,43.93,77.2,13.61,217.35,16.15,17321.43,40.9964,1901.9038903,77.49823,1380.3010053,3.29007,77.3932575,93.66,4290.72,29.64,860.9,0.04296,529973.6510000001,0.081785,211762.7,0.00135,6900
2021-06-04 00:00:00,5.59012,449171.991376184,120.98752,84235.068185308,0.5700000000000001,15.12,908.24,18987.07,104.49,10414.92,85.9,2887.08,28.02,3750.16,45.98,79.86,13.75,211.81,17.56,16422.28,32.88572,1459.9291311000002,75.37695,1327.4394942,3.2729,75.1745101,93.12,4196.54,30.89,872.42,0.05064,524950.203,0.087055,260047.46000000002,0.00384,22140
2021-06-05 00:00:00,4.04242,143304.013324317,84.46025,51654.266646352,0.54,13.68,921.2,18465.68,98.88,9299.53,98.27,3361.1499999999996,93.39,11301.78,45.87,79.46,13.63,228.56,15.57,14242.9,23.396349999999998,937.8029585,53.76351,861.7635077,2.88033,46.4689965,88.39,3944.91,27.59,771.46,0.00102,5381.35,0,0,0,0
2021-06-06 00:00:00,0.3063,2416.1199855449995,22.0643,4656.633968761,0.39,9.41,850.62,13881.64,82.44,6182.58,h,h,h,h,43.57,77.89,12.15,159.57,h,h,25.685319999999997,873.2810535000001,56.12332,812.8555366999999,2.9891300000000003,42.8661072,77.65,3126.25,21.15,548.33,h,h,h,h,h,h
2021-06-07 00:00:00,6.50302,393387.31543163396,150.93697,100867.27970297099,0.62,15.67,958.53,20566.61,111.15,10926.89,83.78999999999999,3027.04,80.29,6292.98,46.14,75.36,16.29,268.45,19.54,16421.42,56.16549,2313.6364304999997,108.11588,1926.4890818000001,3.48304,59.8027562,102,4555.51,32.15,900.26,0.05571,516938.07899999997,0.06745,200033.21000000002,0.00287,18210
