Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2023-06-01 00:00:00,8.19475,663197.8634045101,300.20792,167457.263194968,0.22,10.32,3256.17,62898.87,178.84,21300.02,125.95,6098.81,30.63,3974.31,109.9,186.5,35.65,622.97,19.65,25478.96,32.27554,1264.2032789,38.98723,3060.4488516,44.32549,1004.5359418,20.46238,619.0542567,0.98048,25.8075009,0.7965800000000001,28.058138699999997,126.17,5928.75,31.79,946.13,0.07832,730810.3840000001,0.10389,305991.67,0.00377,24370
2023-06-02 00:00:00,8.03329,636306.028635422,199.62924,123157.95736596899,0.23,10.77,3262.64,57644.81,177.76,21256.16,100.41,4932.73,131.14,8045.57,106.34,175.65,35.32,627.78,19.61,24049.78,33.853480000000005,1321.4934933,43.40699000000001,3115.5324237000004,46.355790000000006,1049.5920216,23.57516,661.3562436,1.01209,26.8991036,1.0176699999999999,43.258051,123.86,5747.38,29.54,880.84,0.08528,742205.406,0.10483,309539.98000000004,0.00479,23815
2023-06-03 00:00:00,6.66955,187074.60357424902,154.39659,72719.76047693299,0.25,11.719999999999999,3232.11,54799.2,169.45,18703.32,100.5,5267.129999999999,93.42,5735.29,117.36,189.35,34.71,599.77,20.3,21466.51,31.61488,1157.9634302000002,32.43934,2041.6823280999997,39.871880000000004,917.4543832,16.947680000000002,428.41541,1.10535,28.418923399999997,0.86673,39.0424558,122.92,5657.33,31.07,927.59,0.00148,10758.98,0,0,0,0
2023-06-04 00:00:00,0.74406,6950.1978038669995,77.68812,13521.482662375,0.23,9.14,3119.87,45018.03,151.51,12836.06,9.47,211.17000000000002,28.42,3342.88,118.22,185.14,28.89,414.45,h,h,32.71028,1122.0364478,32.230610000000006,1827.951631,39.97066,872.927492,15.64058,356.08682300000004,0.9799200000000001,21.5566758,0.73792,22.990842400000002,109.48,4530.1,25.17,695.17,h,h,h,h,h,h
2023-06-05 00:00:00,9.15561,566942.9230221481,200.46036,128639.479571415,0.31,12.791693800000001,3211.94749,59403.414097088,178.48,21099.58,302.51,4977.76,204.1,20486.37,105.43,168.19,41.02,872.84,24.58,24096.91,53.24629,2072.7292479999996,57.498630000000006,4119.5575088000005,64.1046,1518.071745,32.30096,825.143906,1.09978,28.364850299999997,1.0429,41.811952500000004,119.67,5409.04,33.2475,970.9685511,0.07724,725025.56,0.12047,296211.17000000004,0.00428,20660
2023-06-06 00:00:00,8.63294,570838.9270940061,203.25625,119074.66661146202,0.3,11.92,3157.26651,54850.162840623,164.63,19107.38,147.89,3518.35,37.22,4005.51,103.36,170.38,38.21,756.72,23.46,24986.24,32.06647,1291.5296865999999,30.653679999999994,2501.8094265,43.24173,969.3653844,20.80875,518.5252106,0.93701,24.649419899999998,0.93055,42.8099698,115.83,5171.27,32.41,933.44,0.06944,710459.8659999999,0.1112,263832.3,0.00503,27300
