Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2023-03-01 00:00:00,9.09693,658149.400999035,300.56273,153924.89085765101,0.28,12.280000000000001,3012.07,59817.25,189.92,24041.1,122.85,6911.42,30.31,3957.54,100.65,176.54,38.11,578.47,25.07,27996.39,31.122809999999998,1218.4135439,40.76628,2812.7363196,47.028040000000004,995.0175569,25.64218,645.4909247,1.1195499999999998,25.1367373,1.91111,68.4818995,130.64,5983.94,46.15,1258.06,0.05105,679863.392,0.09183,262667.01999999996,0.0047,29215
2023-03-02 00:00:00,8.74268,616350.3683583881,194.4652,124201.57478978201,0.28,12.58,2813.58,53383.73,182.15,21818.8,99.6,4819.799999999999,128.64,7861.05,99.31,172.5,38.99,588.38,24.34,26780.49,31.26612,1218.8127359,36.735029999999995,2849.4783758999997,50.907039999999995,1041.5576245,24.786499999999997,595.4871187,1.12506,26.3346747,2.01918,81.4287792,128.58,5771.75,46.05,1277.57,0.05316,676044.7760000001,0.10725,273486.94,0.00715,40825
2023-03-03 00:00:00,8.99895,586897.706942865,216.41626,125427.890344648,0.28,12.45,2941.07,52497.8,176.78,20199.79,104.74719999999999,5160.598895284994,88.08492,5459.492064882997,102.69,175.73,39.87227,606.3107386,23.67,26849.49,32.57486,1279.8774651,43.25284,3032.3379257,49.76925,1050.4479762,27.70036,655.6003638,1.13871,27.1027748,2.08864,84.04114460000001,124.3,5532.59,43.64,1232.43,0.05771,657686.902,0.111095,262761.04000000004,0.00409,19075
2023-03-04 00:00:00,7.7045,204804.20024256402,184.20134,90260.935694933,0.33,15.59,2985.36,53722.03,176.61,19895.15,93.72999999999999,15473.32,27.72,4356.3,109.07,178.72,39.71,608.35,23.93,24865.89,32.090689999999995,1171.0081482,33.03766,2206.8012386,45.89585,999.3834991,19.10126,462.8652093,1.29455,28.794832800000002,1.83908,60.56983339999999,129.73,5845.92,43.03,1241.27,0.0014,7009.1,0,0,0,0
2023-03-05 00:00:00,0.78473,7739.11105807,78.71596,14431.465986073,0.26,11.860000000000001,2870.1,42705.74,162.76,13380.69,3.7,368.45000000000005,155.66,15826.94,108.07,173.7,35.4,486.99,h,h,33.300729999999994,1115.3438201,32.51908,1674.8265816,44.85279,931.5994440000001,18.26767,388.93684800000005,1.22518,24.4592613,1.58398,42.219568699999996,121.72,5031.62,35.68,983.69,h,h,h,h,h,h
2023-03-06 00:00:00,10.14602,683090.930607837,243.0586,148161.294964579,0.33,15.01,2976.54,55488.96,186.25334,21802.153411226,164.16,7122.700000000001,70.47,5021.77,96.29,152.13,41.82,693.82,27.61,25527.55,53.35138,2015.6557702,56.17475,3925.9268068,70.4391,1530.8545063000001,36.13945,822.1428323999999,1.25635,27.8630366,1.96365,62.027807,131.97,5854.58,47.05,1347.28,0.05456,667867.896,0.091,267285.41000000003,0.00288,14400
