Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,CASH WITHDRAWAL,Unnamed: 22,Unnamed: 23,Unnamed: 24
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
"October 1, 2020",5.90785,551899.8753864301,214.37636,134019,0.55,9.64,690.78,15154.61,117.41,11846.45,75.24,6289.96,20.04,2820.75,40.42,71.16,7.02,116.23,26.99,25330.91,125.63,5691.57,27.09,704.75
"October 2, 2020",h,h,23.00559,7405.192421092999,0.38,7.68,668.2,12182.05,100.43,8186.54,h,h,h,h,40.14,69.32,6.28,89.06,h,h,113.83,4947.49,25.04,632.65
"October 3, 2020",5.6141,144909.625414805,103.71117,67722.4,0.35,7.789999999999999,660.31,12936.91,106.86,9794.51,126,7028.51,92.21,5477.5,38.57,64.88,7.08,111.81,30.6,23646.83,116.8,5209.16,24.73,644.36
"October 4, 2020",h,h,14.42776,3802.8879927,0.26,5.390000000000001,621.62,10048.45,88.23,6323.15,h,h,h,h,39.23,66.32,5.35,69.96,h,h,101.45,4019.32,18.43,445.31
"October 5, 2020",6.22482,415956.79691754,126.92162,91202.886524367,0.38999999999999996,8.97,662,14138.9,118.28,11409.38,122.91,4111.88,125.63,13007.97,37.36,62.6,8.4,143.07,31.05,22758.93,117.93,5214.52,27.66,721.32
"October 6, 2020",5.77381,365257.554615473,124.68324,98705.96754716801,0.38999999999999996,8.73,663.59,13442.54,109.04,10156.25,54.769999999999996,2561.34,35.01,3450.73,36.84,64.74,8.16,127.72,29.82,24322.13,116.17,5107.35,27.75,709.1
"October 7, 2020",5.6026,331520.285483892,146.13199,89487.502660178,0.37,8.15,707.29,13835.59,107.93,9860.46,111.89,2409.64,59.55,4670.78,38.56,67.65,8.43,132.19,27.68,21852.98,120.45,5286.6,25.79,668.56
"October 8, 2020",5.34423,332749.823041705,128.26375,80587.36980245699,0.38,8.31,700.44,13802.48,108.67,9800.6,65.71000000000001,2707.96,39.21,2367.41,38.63,69.61,8.83,138.42,26.29,21851.52,122.2,5359.68,26.58,691.78
"October 9, 2020",6.157,511794.44414788496,129.38494,98211.42781731501,0.37,8.1,703.69,13478.59,105.94,9594.28,90.14,3356.75,20.93,1685.53,39.32,69.19,8.34,131.65,25.73,20315.33,119.85,5204.02,25.71,673.77
"October 10, 2020",h,h,20.5708,7937.815307897,0.36,7.84,679.11,11765.56,100.6,7998.82,h,h,h,h,42.26,73.61,7.3,106.86,h,h,111.44,4771.49,23.99,627.8
"October 11, 2020",h,h,10.79067,2827.443389696,0.25,4.7299999999999995,625.09,8802.28,85.8,5258.54,h,h,h,h,39.74,69.61,6.13,77.5,h,h,98.42,3746.39,17.31,415.52
"October 12, 2020",7.29959,406245.73599937395,135.22794,99380.279924302,0.38999999999999996,8.469999999999999,690.28,13602.65,110.53,9983.91,136.67000000000002,3559.76,98.19,11981.49,35.91,62.48,9.77,166.39,39.1,27899.68,112.08,4818.4,26.79,697.04
"October 13, 2020",6.17151,407446.78436700103,109.78343,88846.769946772,0.31999999999999995,7.26,659.71,12201.05,91.01,8047.83,45.79,2750.94,15.52,1900.17,37.56,67.55,9.44,163.69,33.33,24815.66,114.08,4892.98,23.04,606.91
"October 14, 2020",5.73293,362033.958652028,100.22058,82707.93155852,0.38,8.39,685.48,12826.95,109.52,9209.7,66.46,2180.59,18.14,1435.46,38.09,67.96,9.29,155.49,29.23,22467.26,111.88,4717.79,24.86,651.96
"October 15, 2020",5.48242,457016.29798282,100.94035,91051.12635320601,0.39999999999999997,8.72,716.06,13768.29,105.73,9368.42,86.25999999999999,9171.42,69.51,6260.35,38.48,69.2,9.38,166.62,27.51,21955.2,112.05,4692.96,24.61,643.15
"October 16, 2020",5.85115,384628.10684665706,105.76827,83795.94138881999,0.38,8.1,676.8,12787.33,104.89,8830,79.13,2770.51,8.79,1378.9,38.96,70.22,8.27,149.28,26.71,21528.68,113.41,4593.07,24.92,637.41
"October 17, 2020",4.70302,116084.906909876,72.94191,58570.149553307994,0.37,7.989999999999999,697.41,12953.33,102.3,8493.54,86.11,3575.15,37.75,1553.16,40.81,71.35,8.06,128.37,22.78,18362.75,112.05,4655.19,23.65,604.15
"October 18, 2020",h,h,10.43098,3382.561086034,0.30000000000000004,5.66,641.64,9860.13,86.78,5338.86,h,h,h,h,40.67,71.97,6.42,81.03,h,h,98.56,3681.76,17.71,426.8
"October 19, 2020",6.62632,395395.15381655097,92.13717,89077.473987531,0.41,8.74,686.15,13562.8,106.43,9547.04,43.93,2165.61,18.57,1481.3,38.08,66.22,9.13,169.81,27.46,22149.37,107.81,4431.49,25.59,652.39
"October 20, 2020",6.28746,330476.931633555,98.08463,90711.95101080301,0.42,8.94,676.48,13103.34,105.56,9231.26,93.77000000000001,3878.89,30.81,3573.45,38.13,68.67,8.85,158.56,28.81,25642.54,105.5,4340.43,24.11,618.12
"October 21, 2020",5.86878,303267.70718843996,92.54981,79993.57282148101,0.4,8.82,688.79,13438.16,103.81,9056.48,76.30000000000001,3429.34,18.03,1990.53,39.36,69.83,8.76,154.19,26.84,23282.17,106.75,4353.04,24.45,614.06
"October 22, 2020",6.08322,331318.026745469,94.7875,101560.582532135,0.4,8.92,657.31,12591.02,103.17,9107.09,41.849999999999994,3503.71,13.46,1659.97,40.94,72.65,8.24,155.39,25.55,21963.89,105.37,4276.9,24.71,609.71
"October 23, 2020",6.38642,403402,108.60778,100875.52800341,0.4,9.309999999999999,665.35,12525.03,104.51,9216.89,88.2,4083.21,16.07,1826.77,41.88,73.3,7.57,145.4,23.72,20657.01,110.04,4422.01,25,606.19
"October 24, 2020",h,h,16.75565,7643.938090124,0.4,8.66,638.52,10719.74,96.98,7551.62,h,h,h,h,41.69,71.89,6.32,98.24,h,h,108.4,4236.33,23.16,555.86
"October 25, 2020",h,h,9.48401,2518.826522309,0.26,4.959999999999999,566.26,7661.96,77.17,4469.52,h,h,h,h,36.37,65.58,4.4,59.07,h,h,90.19,3044.46,14.94,326.16
"October 26, 2020",5.39211,352037.180393855,78.83423,88236.879751926,0.35,7.35,633.45,11007.26,96.48,7915.29,108.32,4032.98,25.87,2671.12,37.61,62.2,7.31,152.53,26.01,20775.52,94.05,3540.23,19.13,468.29
"October 27, 2020",6.81384,362460.3,88.15376,90351.178832676,0.4,8.7,648.1,11851.51,104.09,9205.72,100.85999999999999,4734.38,12.42,1671.77,38.36,65.49,8.16,151.37,32.02,26669.23,101.48,4054.03,21.07,542.88
"October 28, 2020",6.38413,424170.439546062,102.93271,93309.440641868,0.38,8.459999999999999,645.16,12124.43,102.74,9341.63,69.52,4491.98,53.31,3091.57,40.88,69.61,7.15,131.49,27.62,24001.11,105.33,4212.13,21.42,549.8
"October 29, 2020",6.60254,595760.2796331319,153.22675,173460.123125718,0.37,8.49,664.37,13283.1,107.25,10468.61,83.15,5597.88,9.71,1210.45,42.43,72.61,6.85,130.36,23.72,21662.56,105.97,4342.35,21.12,545.52
"October 30, 2020",h,h,35.72551,29253.251390127003,0.42000000000000004,9.08,671.68,12259.09,105.78,9568.04,h,h,h,h,42.68,74.74,6.15,98.63,h,h,106.22,4353.94,20.26,529.53
"October 31, 2020",5.90546,210213.510569595,112.78956,98751.24548650501,0.37,8.26,725.07,14391.61,115.8,10464.29,124.79,8891.52,9.63,1855.31,43.64,74.95,6.38,101.06,24.51,20179.08,113.95,4943.52,20.06,533.62
"Total Oct, 2020",138.21531000000002,8496045.725292144,2761.6504200000004,2235388.645470446,11.57,248.60999999999999,20716.189999999995,386106.74,3189.7200000000007,274644.72,1977.7699999999995,97283.91,848.36,79022.44,1223.6000000000004,2137.16,237.21999999999994,3961.4400000000005,643.0799999999999,524090.34,3399.3399999999997,141160.59999999998,720.68,18354.469999999998
,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
i,The data published is only for RBI and NPCI operated systems.,,,,,,,,,,,,,,,,,,,,,,,
ii,RTGS data includes only Customer and Interbank transactions.,,,,,,,,,,,,,,,,,,,,,,,
iii,AePS data under Payment transactions include AePS Fund Transfers and BHIM Aadhaar Pay transactions.,,,,,,,,,,,,,,,,,,,,,,,
iv,UPI data includes BHIM-UPI and USSD transactions.,,,,,,,,,,,,,,,,,,,,,,,
v,NACH Credit data includes Aadhaar Payment Bridge System (APBS) transactions.,,,,,,,,,,,,,,,,,,,,,,,
vi,NETC figures are for FASTags linked with all instruments and hence would be different from monthly bulletin which only includes NETC linked to bank accounts,,,,,,,,,,,,,,,,,,,,,,,
vii,BBPS data is not included in the monthly bulletin as the data is captured under other systems. ,,,,,,,,,,,,,,,,,,,,,,,
viii,"For complete data on Payment System Indicators, please refer to RBI Bulletin – Table 43 published on a monthly basis.",,,,,,,,,,,,,,,,,,,,,,,
ix,h: holiday,,,,,,,,,,,,,,,,,,,,,,,
