Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2025-10-01 00:00:00,9.85095,1100764.612133851,385.70687,201123.787786843,0.48,17.59,7056.18,106297.2,152.33,25773.98,79.12,7699.63,50.1,6719.05,127.1,226.32,93.62,6241.58,12.8,19472.7,31.5412,1818.3902684000002,53.16947,4282.3509175,23.494030000000002,752.9280561,9.738040000000002,572.7309138,7.77384,19.6641498,1.10166,51.0020242,99.16,4778.64,30.26,862.94,0.06655,909687.9841221999,0.133095,549815.64,0.00995,101445
2025-10-02 00:00:00,2.05525,26916.289441681,171.63522,33625.392065107,0.44,15.49,6562.93,82995.89,122.5,16235.51,169.69,2531.7799999999997,83.95,6774.2,117.88,212.01,82.34,5052.01,h,h,23.93333,1519.4881937,41.25926,3045.744893,17.549979999999998,704.4133369000001,7.59661,349.3345146,7.127479999999999,15.111963600000001,0.61726,15.4200875,84.15,3813.16,25.33,671.7,h,h,h,h,h,h
2025-10-03 00:00:00,12.76207,995917.315933724,357.24704,200384.263258657,0.43,15.729999999999999,6746.33,97261.44,137.71,24410.97,156.51999999999998,7504.04,190.79,14410.37,122.52,204.6,104.53,6295.78,11.41,13511.07,40.13064,2456.0151244,64.77005,4911.3732361,27.68463,977.2678968,12.39013,606.0142315,4.1777500000000005,20.9476045,0.8311700000000001,28.7076402,92.53,4528.4,28.96,868.55,0.11898,1008050.1669999999,0.13408,565886.39,0.00472,33490
2025-10-04 00:00:00,10.38632,276088.275046841,367.71742,138138.179851339,0.47000000000000003,17.34,6769.6,99228.42,137.54,23124.79,395.73,10603.44,80.49,9840.01,137.07,224.51,95.28,5814.87,23.09,30378.51,28.03576,1523.0196371,39.75268,2968.9074012,21.15426,691.5013887,7.70892,350.97997780000003,7.920159999999999,21.7065574,1.12039,54.7801432,97.16,4757.59,30.23,945.75,0.00141,11497.1,0,0,0,0
2025-10-05 00:00:00,1.81979,23921.434053777,170.24475,28637.752190869,0.51,18.42,6785.92,82431.5,118.83,15061.1,5.5600000000000005,351.26,253.42,30306.24,146.08,236.25,86.59,4939.11,h,h,29.13718,1536.1280308,38.20957000000001,2318.473948,20.27508,668.513728,7.19515,282.370273,6.625640000000001,21.009095000000002,0.91883,35.4084833,91.41,4114.3,30.2,893.06,h,h,h,h,h,h
2025-10-06 00:00:00,12.74024,925282.3514859179,320.17582,187605.695719874,0.59,21.34,6768.48,102255.51,142.41,25261.77,138.29,6175.530000000001,83.06,7597.87,128.6,217.69,102.46,5630.43,20.28,27153.09,49.626909999999995,3036.1202399,77.49849,5734.6303252,31.97411,1125.5516642,13.58832,646.0332263,5.1621500000000005,22.8608068,0.9126500000000001,29.2978871,95.06,4547.74,42.34,1253.32,0.08915,949835.171,0.11867,503404.11,0.00398,40935
