Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2023-09-01 00:00:00,8.79022,754227.707585375,351.06375,169489.94353238502,0.22,9.629999999999999,3655.33,66251.46,181.94,23048.55,164.55,10797.89,32.11,4193.49,103.62,177.17,38.26,758.42,20.23,24733.33,32.75042,1315.9231345,42.48796,3224.5414815999998,39.30974,906.9417781,19.46942,677.3406682,0.8702399999999999,14.567364699999999,1.8889999999999998,52.4024506,117.02,5403.64,38.78,1092.44,0.07749,733381.872,0.105515,331484.13999999996,0.00338,16045
2023-09-02 00:00:00,6.96602,208652.51158963,191.86667,88522.666811377,0.22,9.78,3674.04,61319.8,171.34,19759.18,159.26999999999998,5634.71,136.68,8418.74,108.51,177.59,36.48,692.18,19.71,22198.13,30.26102,1158.0022256000002,31.98339,2086.062842,36.84993,864.3761101,15.539330000000001,460.72520119999996,0.97664,15.551035,2.00166,57.6256816,119.37,5516.93,35.44,992.09,0.00147,16218.85,0,0,0,0
2023-09-03 00:00:00,0.85926,8168.144002334001,88.87026,15889.686451348998,0.22,8.02,3519.03,48259.6,152.09566,13176.640656395,1.09,237.39,81.57,4661.8,109.61,177.18,31.12,490.44,h,h,31.924780000000002,1131.3149300999999,32.51405,1754.1026453999998,35.74286,814.8717298,14.139259999999998,379.344212,0.9464600000000001,15.6314587,1.17346,34.8236072,110.39,4569.9,30.77,795.11,0,0,0,0,0,0
2023-09-04 00:00:00,9.40924,597897.658271632,224.7459,120307.530930409,0.27,10.16,3608.71,65160.82,179.61,22200.77,148.03,3371.75,66.46,5619.65,98.99,161.53,41.7543,850.3913805,24.8,24232,51.387330000000006,2082.5833015,56.83782,4468.2184504,55.86140999999999,1341.6149456,27.20632,786.4990303999999,1.02613,16.2375541,1.5327899999999999,45.833960700000006,113.81,5086.08,38.23,1024.35,0.07052,732077.9739999999,0,0,0.00664,34845
2023-09-05 00:00:00,9.14077,610830.5913664651,226.79496,122046.869789136,0.27,10.07,3595.88,62292.52,176.24,20937.72,115.73,4524.26,215.17,21926.2,95.94,164.98,41.64,974.41,24.46,25714.69,31.18667,1295.7916581,41.68937,3355.4195280000004,37.98503,862.0481020999999,18.46021,587.2431981999999,0.88667,14.388082599999999,2.05513,59.3064195,110.87,4915.01,34.95,934.26,0.06698,710274.531,0.232035,506487.13,0.00522,23478
2023-09-06 00:00:00,7.98759,633444.6889425151,232.69669,120530.812971493,0.3,11.16,3619.58,59538.75,167.24,19361.04,107.00999999999999,5796.09,37.69,3999.67,99.15,170.78,38.79,814.88,20.59,24067.09,32.62947,1336.4289451,39.10971,2924.9713171,39.484390000000005,903.8453963000001,17.89824,524.579686,0.97743,15.7082032,1.90492,55.644995599999994,114.39,5011.96,34.68,935.56,0.05779,681073.54,0.087735,313178.45999999996,0.00687,41890
